data_size, chunk_size, N, K, chosen_nodes
2.200000, 0.314286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
67.099998, 9.585714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
74.199997, 10.600000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
50.299999, 7.185714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
146.800003, 20.971429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
67.400002, 9.628572, 10, 7, 1 6 7 9 2 0 3 8 4 5 
80.699997, 11.528571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
73.800003, 10.542858, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
149.300003, 21.328572, 10, 7, 1 6 7 9 2 0 3 8 4 5 
154.199997, 22.028571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
184.000000, 26.285714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
134.600006, 19.228572, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.328571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.500000, 0.357143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
139.399994, 19.914285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
140.699997, 20.100000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
116.099998, 16.585714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
213.199997, 30.457142, 10, 7, 1 6 7 9 2 0 3 8 4 5 
132.199997, 18.885714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
185.600006, 26.514287, 10, 7, 1 6 7 9 2 0 3 8 4 5 
185.800003, 26.542858, 10, 7, 1 6 7 9 2 0 3 8 4 5 
236.699997, 33.814285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
73.599998, 10.514285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
58.299999, 8.328571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
78.099998, 11.157143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
149.600006, 21.371429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
128.800003, 18.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
86.599998, 12.371428, 10, 7, 1 6 7 9 2 0 3 8 4 5 
50.200001, 7.171429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
144.699997, 20.671428, 10, 7, 1 6 7 9 2 0 3 8 4 5 
70.000000, 10.000000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
159.699997, 22.814285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
189.800003, 27.114286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
132.399994, 18.914285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.300000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
246.100006, 35.157144, 10, 7, 1 6 7 9 2 0 3 8 4 5 
123.300003, 17.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
139.100006, 19.871429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
190.699997, 27.242857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
138.000000, 19.714286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
