data_size, chunk_size, N, K, chosen_nodes
2.400000, 0.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
185.600006, 20.622223, 10, 9, 1 6 7 9 2 0 3 8 4 5 
185.800003, 20.644445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
236.699997, 26.300000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.599998, 8.177778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
58.299999, 6.477778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
78.099998, 8.677778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
149.600006, 16.622223, 10, 9, 1 6 7 9 2 0 3 8 4 5 
128.800003, 14.311111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
86.599998, 9.622222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
50.200001, 5.577778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
144.699997, 16.077777, 10, 9, 1 6 7 9 2 0 3 8 4 5 
70.000000, 7.777778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
159.699997, 17.744444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
189.800003, 21.088889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
132.399994, 14.711110, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.233333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
246.100006, 27.344445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
123.300003, 13.700000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
139.100006, 15.455556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
190.699997, 21.188889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
138.000000, 15.333333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
116.300003, 12.922223, 10, 9, 1 6 7 9 2 0 3 8 4 5 
214.300003, 23.811111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
183.899994, 20.433333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
56.299999, 6.255555, 10, 9, 1 6 7 9 2 0 3 8 4 5 
161.500000, 17.944444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.699997, 8.188889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
49.500000, 5.500000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
133.800003, 14.866667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
86.800003, 9.644445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
146.000000, 16.222222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
133.500000, 14.833333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
143.899994, 15.988888, 10, 9, 1 6 7 9 2 0 3 8 4 5 
69.000000, 7.666667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
153.100006, 17.011112, 10, 9, 1 6 7 9 2 0 3 8 4 5 
181.300003, 20.144445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
178.000000, 19.777778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
