ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
166,432.141479,3.173062,0.491070,10.061168,10,8,2.985342,0.482301,30.697341
169,260.583618,1.913373,0.296118,6.023222,10,8,1.800177,0.290830,18.881713
170,0.001494,0.000011,0.000002,0.000035,10,8,0.000010,0.000002,0.000108
172,3.930540,0.028861,0.004467,0.090852,10,8,0.027153,0.004387,0.284804
173,0.000132,0.000001,0.000000,0.000003,10,8,0.000001,0.000000,0.000010
175,0.000119,0.000001,0.000000,0.000003,10,8,0.000001,0.000000,0.000009
176,2485.687500,18.251524,2.824645,57.872066,10,8,17.171752,2.774205,176.571794
177,269.901886,1.981794,0.306707,6.238608,10,8,1.864550,0.301230,19.556908
179,0.002728,0.000020,0.000003,0.000063,10,8,0.000019,0.000003,0.000193
180,0.000009,0.000000,0.000000,0.000000,10,8,0.000000,0.000000,0.000001
181,0.003777,0.000028,0.000004,0.000088,10,8,0.000026,0.000004,0.000267
183,2.263358,0.016619,0.002572,0.052449,10,8,0.015636,0.002526,0.159874
184,22.378557,0.164318,0.025430,0.526161,10,8,0.154597,0.024976,1.594457
185,3479.346191,25.547608,3.953802,81.006544,10,8,24.036195,3.883199,247.156732
187,26686.119141,195.946732,30.325135,621.309336,10,8,184.354399,29.783615,1895.659021
188,0.208573,0.001531,0.000237,0.004856,10,8,0.001441,0.000233,0.014816
191,3479.863770,25.551409,3.954391,81.018594,10,8,24.039771,3.883777,247.193498
193,0.000516,0.000004,0.000001,0.000012,10,8,0.000004,0.000001,0.000037
194,0.018806,0.000138,0.000021,0.000442,10,8,0.000130,0.000021,0.001340
195,14.015666,0.102912,0.015927,0.329534,10,8,0.096824,0.015642,0.998607
198,0.074909,0.000550,0.000085,0.001744,10,8,0.000517,0.000084,0.005321
199,466.193542,3.423094,0.529765,10.853972,10,8,3.220582,0.520305,33.116243
200,0.253876,0.001864,0.000288,0.005911,10,8,0.001754,0.000283,0.018034
202,0.000465,0.000003,0.000001,0.000011,10,8,0.000003,0.000001,0.000033
203,203.204041,1.492055,0.230914,4.696930,10,8,1.403784,0.226790,14.724028
204,0.000122,0.000001,0.000000,0.000003,10,8,0.000001,0.000000,0.000009
205,101.571136,0.745801,0.115422,2.353705,10,8,0.701679,0.113361,7.174532
206,6286.089355,46.156530,7.143283,146.353465,10,8,43.425881,7.015725,446.534842
207,356826.343750,2620.049605,405.484482,8307.672527,10,8,2465.045810,398.243687,25347.300365
208,0.059158,0.000434,0.000067,0.001377,10,8,0.000409,0.000066,0.004202
209,639.942627,4.698872,0.727208,14.899219,10,8,4.420884,0.714222,45.458577
210,17.725325,0.130151,0.020142,0.416755,10,8,0.122451,0.019783,1.262917
211,229833.562500,1687.586540,261.174503,5351.011792,10,8,1587.747850,256.510672,16326.317955
213,11.859482,0.087080,0.013477,0.278838,10,8,0.081928,0.013236,0.844980
214,0.004286,0.000031,0.000005,0.000101,10,8,0.000030,0.000005,0.000305
216,2.054760,0.015087,0.002335,0.048311,10,8,0.014195,0.002293,0.146400
217,0.000134,0.000001,0.000000,0.000003,10,8,0.000001,0.000000,0.000010
218,16.199196,0.118945,0.018408,0.380873,10,8,0.111908,0.018079,1.154182
219,0.021508,0.000158,0.000024,0.000506,10,8,0.000149,0.000024,0.001532
221,28.596247,0.209972,0.032496,0.672350,10,8,0.197550,0.031915,2.037463
222,0.000301,0.000002,0.000000,0.000007,10,8,0.000002,0.000000,0.000021
223,17.712984,0.130060,0.020128,0.416465,10,8,0.122366,0.019769,1.262038
224,785.255127,5.765851,0.892335,18.282401,10,8,5.424739,0.876401,55.780908
226,0.608849,0.004471,0.000692,0.014175,10,8,0.004206,0.000680,0.043250
227,0.006306,0.000046,0.000007,0.000147,10,8,0.000044,0.000007,0.000448
229,3.901324,0.028646,0.004433,0.090831,10,8,0.026951,0.004354,0.277132
230,70058.843750,514.417304,79.612322,1631.118166,10,8,483.984051,78.190674,4976.657657
232,63.755154,0.468132,0.072449,1.496131,10,8,0.440437,0.071155,4.663360
234,2363.997559,17.357998,2.686361,55.038867,10,8,16.331088,2.638390,167.927501
235,28989.296875,212.858151,32.942383,674.932189,10,8,200.265328,32.354126,2059.266162
236,0.000744,0.000005,0.000001,0.000017,10,8,0.000005,0.000001,0.000053
237,226161.390625,1660.623081,257.001580,5265.515858,10,8,1562.379567,252.412266,16065.463774
240,0.465053,0.003415,0.000528,0.010827,10,8,0.003213,0.000519,0.033035
244,37812.292969,277.642290,42.968515,880.350212,10,8,261.216796,42.201220,2686.011176
247,3923.222168,28.806832,4.458207,91.340916,10,8,27.102602,4.378596,278.687637
248,0.000749,0.000005,0.000001,0.000017,10,8,0.000005,0.000001,0.000053
249,39.919510,0.293115,0.045363,0.936784,10,8,0.275774,0.044553,2.919906
251,16.876219,0.123916,0.019178,0.396791,10,8,0.116585,0.018835,1.202419
252,0.000103,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000007
253,223844.718750,1643.612579,254.368999,5211.578833,10,8,1546.375417,249.826695,15900.898072
254,0.046736,0.000343,0.000053,0.001088,10,8,0.000323,0.000052,0.003320
255,9362.594727,68.746221,10.639312,217.981022,10,8,64.679151,10.449324,665.075617
257,2.240026,0.016448,0.002545,0.052153,10,8,0.015475,0.002500,0.159121
259,0.001458,0.000011,0.000002,0.000034,10,8,0.000010,0.000002,0.000104
261,0.001048,0.000008,0.000001,0.000024,10,8,0.000007,0.000001,0.000074
263,0.000784,0.000006,0.000001,0.000018,10,8,0.000005,0.000001,0.000056
265,479.188324,3.518510,0.544532,11.156518,10,8,3.310353,0.534808,34.039332
266,222093.234375,1630.752049,252.378675,5170.800570,10,8,1534.275724,247.871913,15776.480687
268,18.342617,0.134683,0.020844,0.431268,10,8,0.126715,0.020472,1.306899
270,0.000906,0.000007,0.000001,0.000021,10,8,0.000006,0.000001,0.000065
271,0.000479,0.000004,0.000001,0.000011,10,8,0.000003,0.000001,0.000034
272,1.501031,0.011022,0.001706,0.035292,10,8,0.010369,0.001675,0.106947
273,4555.191406,33.447159,5.176354,106.054497,10,8,31.468404,5.083919,323.579822
274,0.004032,0.000030,0.000005,0.000094,10,8,0.000028,0.000005,0.000286
275,0.000478,0.000004,0.000001,0.000011,10,8,0.000003,0.000001,0.000034
276,333.130890,2.446062,0.378558,7.755992,10,8,2.301352,0.371798,23.664084
278,0.000690,0.000005,0.000001,0.000016,10,8,0.000005,0.000001,0.000049
279,0.000117,0.000001,0.000000,0.000003,10,8,0.000001,0.000000,0.000008
282,0.000100,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000007
283,565.916748,4.155326,0.643087,13.175740,10,8,3.909495,0.631604,40.200120
284,10.962359,0.080493,0.012457,0.257745,10,8,0.075731,0.012235,0.781061
285,0.000000,0.000000,0.000000,0.000000,10,8,0.000000,0.000000,0.000000
288,23360.746094,171.529694,26.546302,543.887613,10,8,161.381889,26.072261,1659.439832
291,7.863306,0.057737,0.008936,0.184881,10,8,0.054322,0.008776,0.560255
292,18.344072,0.134694,0.020846,0.431303,10,8,0.126725,0.020473,1.307003
293,589.768188,4.330459,0.670191,13.731052,10,8,4.074266,0.658223,41.894416
294,0.022696,0.000167,0.000026,0.000528,10,8,0.000157,0.000025,0.001612
295,0.004046,0.000030,0.000005,0.000094,10,8,0.000028,0.000005,0.000287
297,0.034290,0.000252,0.000039,0.000793,10,8,0.000237,0.000038,0.002485
298,394.913574,2.899711,0.448765,9.194424,10,8,2.728162,0.440752,28.052842
299,0.000116,0.000001,0.000000,0.000003,10,8,0.000001,0.000000,0.000008
301,0.001307,0.000010,0.000001,0.000030,10,8,0.000009,0.000001,0.000093
304,0.556953,0.004090,0.000633,0.012967,10,8,0.003848,0.000622,0.039563
306,1.083839,0.007958,0.001232,0.025483,10,8,0.007487,0.001210,0.077223
307,17.620956,0.129384,0.020024,0.414301,10,8,0.121730,0.019666,1.255481
311,0.000089,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000006
312,66.859055,0.490922,0.075976,1.568970,10,8,0.461879,0.074619,4.890394
314,0.215027,0.001579,0.000244,0.005046,10,8,0.001485,0.000240,0.015728
315,107814.335938,791.642527,122.516291,2510.145936,10,8,744.808453,120.328500,7658.633967
316,205963.484375,1512.317001,234.049414,4795.265850,10,8,1422.847368,229.869960,14630.697520
318,5.305224,0.038954,0.006029,0.124497,10,8,0.036650,0.005921,0.388050
319,17.789772,0.130624,0.020216,0.418270,10,8,0.122896,0.019855,1.267509
320,3003.106689,22.050750,3.412621,69.918680,10,8,20.746214,3.351682,213.326871
321,0.503778,0.003699,0.000572,0.011729,10,8,0.003480,0.000562,0.035786
322,0.000130,0.000001,0.000000,0.000003,10,8,0.000001,0.000000,0.000009
324,0.000093,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000007
325,0.021506,0.000158,0.000024,0.000501,10,8,0.000149,0.000024,0.001528
326,21.974674,0.161352,0.024971,0.516665,10,8,0.151807,0.024525,1.565681
328,10.741219,0.078869,0.012206,0.252546,10,8,0.074203,0.011988,0.765305
329,14.661916,0.107657,0.016661,0.344728,10,8,0.101288,0.016364,1.044652
331,204.805374,1.503813,0.232733,4.733944,10,8,1.414847,0.228577,14.840059
332,55.666142,0.408737,0.063257,1.306308,10,8,0.384556,0.062127,4.071690
333,16.028812,0.117694,0.018215,0.376867,10,8,0.110731,0.017889,1.142042
334,0.052576,0.000386,0.000060,0.001236,10,8,0.000363,0.000059,0.003746
336,51710.472656,379.691707,58.761901,1203.929252,10,8,357.228905,57.712581,3673.273864
338,3689.768311,27.092663,4.192919,85.905616,10,8,25.489844,4.118045,262.104150
339,51611.707031,378.966506,58.649667,1201.629779,10,8,356.546607,57.602352,3666.258009
340,4.945666,0.036314,0.005620,0.115146,10,8,0.034166,0.005520,0.351317
341,2086.879639,15.323219,2.371454,48.586975,10,8,14.416688,2.329107,148.242320
343,0.043949,0.000323,0.000050,0.001031,10,8,0.000304,0.000049,0.003215
345,272.266632,1.999158,0.309394,6.293268,10,8,1.880886,0.303869,19.728256
347,37748.777344,277.175917,42.896338,878.871434,10,8,260.778014,42.130332,2681.499319
349,0.172017,0.001263,0.000195,0.004005,10,8,0.001188,0.000192,0.012219
350,0.767169,0.005633,0.000872,0.017861,10,8,0.005300,0.000856,0.054496
351,0.126391,0.000928,0.000144,0.002943,10,8,0.000873,0.000141,0.008978
352,4461.831543,32.761651,5.070263,103.880882,10,8,30.823451,4.979723,316.947967
353,53621.257812,393.721926,60.933248,1248.416374,10,8,370.429087,59.845154,3809.007243
354,938.655029,6.892212,1.066653,21.853876,10,8,6.484464,1.047606,66.677731
355,43.742287,0.321184,0.049707,1.026493,10,8,0.302183,0.048820,3.199522
356,0.000129,0.000001,0.000000,0.000003,10,8,0.000001,0.000000,0.000009
358,919.866089,6.754251,1.045302,21.416430,10,8,6.354665,1.026636,65.343051
359,234722.203125,1723.482098,266.729776,5464.829692,10,8,1621.519805,261.966745,16673.584474
362,2.296612,0.016863,0.002610,0.053470,10,8,0.015866,0.002563,0.163141
364,2.283270,0.016765,0.002595,0.053159,10,8,0.015773,0.002548,0.162193
365,2.262354,0.016612,0.002571,0.052672,10,8,0.015629,0.002525,0.160707
366,1.267154,0.009304,0.001440,0.029502,10,8,0.008754,0.001414,0.090013
368,0.000377,0.000003,0.000000,0.000009,10,8,0.000003,0.000000,0.000027
369,0.008411,0.000062,0.000010,0.000198,10,8,0.000058,0.000009,0.000599
370,0.000105,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000007
371,140.935532,1.034840,0.160154,3.265895,10,8,0.973618,0.157294,9.955057
372,416.489441,3.058135,0.473283,9.696756,10,8,2.877213,0.464832,29.585492
373,16.706314,0.122669,0.018984,0.392796,10,8,0.115411,0.018645,1.190314
374,0.079654,0.000585,0.000091,0.001873,10,8,0.000550,0.000089,0.005675
375,348233.937500,2556.958606,395.720384,8107.623123,10,8,2405.687314,388.653948,24736.935391
376,0.000006,0.000000,0.000000,0.000000,10,8,0.000000,0.000000,0.000000
377,637.035583,4.677527,0.723904,14.831537,10,8,4.400801,0.710977,45.252074
379,0.678907,0.004985,0.000771,0.015932,10,8,0.004690,0.000758,0.049659
380,5.204551,0.038215,0.005914,0.122134,10,8,0.035954,0.005809,0.380686
381,17.414181,0.127866,0.019789,0.409439,10,8,0.120302,0.019435,1.240749
383,224611.687500,1649.244159,255.240554,5229.435489,10,8,1551.673829,250.682687,15955.380000
384,1662556.750000,12207.566042,1889.269034,38707.840042,10,8,11485.358696,1855.532087,118100.375867
387,5.458222,0.040078,0.006203,0.127079,10,8,0.037707,0.006092,0.387727
388,383595.343750,2816.604902,435.903800,8930.911505,10,8,2649.972771,428.119803,27248.846860
389,2526.750000,18.553031,2.871307,58.828088,10,8,17.455422,2.820033,179.488685
390,352.452942,2.587937,0.400515,8.205850,10,8,2.434833,0.393363,25.036634
391,995.444336,7.309196,1.131187,23.176051,10,8,6.876779,1.110987,70.711782
392,202418.781250,1486.289500,230.021342,4712.737659,10,8,1398.359671,225.913818,14378.898133
394,0.000197,0.000001,0.000000,0.000005,10,8,0.000001,0.000000,0.000014
395,51587.910156,378.791774,58.622625,1201.075737,10,8,356.382212,57.575793,3664.567588
396,0.484815,0.003560,0.000551,0.011288,10,8,0.003349,0.000541,0.034439
397,4.033488,0.029616,0.004584,0.093908,10,8,0.027864,0.004502,0.286520
399,1.380458,0.010136,0.001569,0.032140,10,8,0.009537,0.001541,0.098061
401,0.000126,0.000001,0.000000,0.000003,10,8,0.000001,0.000000,0.000009
402,323.984009,2.378900,0.368164,7.543033,10,8,2.238163,0.361589,23.014332
403,0.004560,0.000033,0.000005,0.000106,10,8,0.000031,0.000005,0.000324
404,0.000107,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000008
407,0.005344,0.000039,0.000006,0.000124,10,8,0.000037,0.000006,0.000380
409,0.000137,0.000001,0.000000,0.000003,10,8,0.000001,0.000000,0.000010
410,342493.781250,2514.810669,389.197479,7973.980136,10,8,2366.032876,382.247524,24329.181123
411,252835.031250,1856.478187,287.312536,5886.534668,10,8,1746.647761,282.181955,17960.236379
412,0.116364,0.000854,0.000132,0.002709,10,8,0.000804,0.000130,0.008266
413,9566.305664,70.241998,10.870802,222.723844,10,8,66.086437,10.676680,679.546304
414,335721.656250,2465.085351,381.501882,7816.310733,10,8,2319.249339,374.689348,23848.120547
415,6.123244,0.044961,0.006958,0.143969,10,8,0.042301,0.006834,0.436277
416,338726.187500,2487.146561,384.916122,7886.262579,10,8,2340.005394,378.042620,24061.548612
417,18.168274,0.133403,0.020646,0.427169,10,8,0.125511,0.020277,1.294477
419,0.000082,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000006
420,0.000005,0.000000,0.000000,0.000000,10,8,0.000000,0.000000,0.000000
423,53649.859375,393.931937,60.965749,1249.082279,10,8,370.626674,59.877075,3811.038966
424,1205.299927,8.850091,1.369659,28.061933,10,8,8.326514,1.345201,85.618957
426,16.250650,0.119323,0.018467,0.382082,10,8,0.112264,0.018137,1.157848
427,61436.917969,451.109554,69.814680,1430.381485,10,8,424.421627,68.567989,4364.195751
428,917.646912,6.737957,1.042781,21.364762,10,8,6.339335,1.024159,65.185411
429,42.370766,0.311114,0.048149,0.994307,10,8,0.292708,0.047289,3.099202
430,48.054153,0.352845,0.054607,1.127679,10,8,0.331970,0.053632,3.514913
431,0.021512,0.000158,0.000024,0.000505,10,8,0.000149,0.000024,0.001573
432,0.007815,0.000057,0.000009,0.000183,10,8,0.000054,0.000009,0.000572
433,0.000141,0.000001,0.000000,0.000003,10,8,0.000001,0.000000,0.000010
434,0.000093,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000007
435,5.467216,0.040144,0.006213,0.128298,10,8,0.037769,0.006102,0.399899
436,352010.875000,2584.691322,400.012358,8195.558222,10,8,2431.779345,392.869280,25005.231639
437,218773.765625,1606.378364,248.606552,5093.516312,10,8,1511.344002,244.167149,15540.680912
441,1.096266,0.008049,0.001246,0.025523,10,8,0.007573,0.001224,0.077874
442,236980.796875,1740.066153,269.296360,5517.414535,10,8,1637.122737,264.487497,16834.024573
444,63.608765,0.467057,0.072283,1.492696,10,8,0.439425,0.070992,4.652652
445,84.008194,0.616842,0.095464,1.946719,10,8,0.580350,0.093759,5.933964
446,1.474715,0.010828,0.001676,0.034174,10,8,0.010188,0.001646,0.104167
447,0.041770,0.000307,0.000047,0.000968,10,8,0.000289,0.000047,0.002950
449,0.000074,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000005
450,222143.453125,1631.120787,252.435742,5171.969769,10,8,1534.622647,247.927961,15780.047996
451,0.000101,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000007
