ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
1263,9.814428,0.099648,0.044611,0.230452,3,2,0.098644,0.043814,0.432988
1264,0.057014,0.000579,0.000259,0.001339,3,2,0.000573,0.000255,0.002515
1265,17.131559,0.215122,0.077871,0.468439,4,2,0.214594,0.076480,0.756827
1266,0.000118,0.000001,0.000001,0.000003,4,2,0.000001,0.000001,0.000005
1267,3.416004,0.034683,0.015527,0.080211,3,2,0.034334,0.015250,0.150706
1268,98.544243,1.000542,0.447928,2.285029,3,2,0.990465,0.439930,4.311089
1269,0.006847,0.000070,0.000031,0.000159,3,2,0.000069,0.000031,0.000300
1270,0.001391,0.000014,0.000006,0.000032,3,2,0.000014,0.000006,0.000061
1271,4875.631836,49.503382,22.161963,114.741521,3,2,49.004804,21.766214,206.458801
1272,0.001421,0.000014,0.000006,0.000033,3,2,0.000014,0.000006,0.000060
1273,0.000464,0.000006,0.000002,0.000013,4,2,0.000006,0.000002,0.000020
1274,0.018938,0.000238,0.000086,0.000519,4,2,0.000237,0.000085,0.000801
1275,0.003695,0.000046,0.000017,0.000101,4,2,0.000046,0.000016,0.000156
1276,0.523094,0.005192,0.002378,0.012310,3,2,0.005169,0.002335,0.022150
1277,1.585354,0.019907,0.007206,0.043428,4,2,0.019858,0.007077,0.067051
1278,68.815186,0.683025,0.312796,1.625224,3,2,0.679943,0.307211,3.104531
1279,0.868587,0.010907,0.003948,0.023805,4,2,0.010880,0.003878,0.039227
1280,0.000143,0.000002,0.000001,0.000004,4,2,0.000002,0.000001,0.000006
1281,81.043251,0.804394,0.368378,1.879218,3,2,0.800765,0.361800,3.545460
1282,1827.323364,18.137082,8.306015,43.003629,3,2,18.055252,8.157694,77.378072
1283,0.002745,0.000027,0.000012,0.000065,3,2,0.000027,0.000012,0.000116
1284,114.793495,1.139382,0.521789,2.661814,3,2,1.134241,0.512471,5.021958
1285,1.857728,0.018439,0.008444,0.043077,3,2,0.018356,0.008293,0.081271
1286,10.064487,0.126380,0.045748,0.275200,4,2,0.126070,0.044931,0.444623
1287,0.001014,0.000010,0.000005,0.000024,3,2,0.000010,0.000005,0.000045
1288,0.000113,0.000001,0.000001,0.000003,3,2,0.000001,0.000001,0.000005
1289,68.502899,0.679925,0.311377,1.617848,3,2,0.676857,0.305817,3.090442
1290,0.006371,0.000063,0.000029,0.000150,3,2,0.000063,0.000028,0.000287
1291,0.015698,0.000197,0.000071,0.000430,4,2,0.000197,0.000070,0.000709
1292,182.747421,2.294772,0.830670,4.984606,4,2,2.289133,0.815837,8.248648
1293,51227.558594,508.458681,232.852539,1205.572570,3,2,506.164636,228.694458,2169.232766
1294,1970.438965,14.698921,6.007436,46.371665,3,2,13.434859,5.795409,83.438307
1295,10.390716,0.077512,0.031679,0.243983,3,2,0.070846,0.030561,0.458413
1296,1514.997559,11.301456,4.618895,35.653456,3,2,10.329566,4.455875,64.152625
1297,0.046099,0.000553,0.000210,0.001263,4,2,0.000520,0.000206,0.001950
1298,102.976997,0.768179,0.313954,2.387815,3,2,0.702118,0.302874,4.505012
1299,16080.320312,193.047034,73.092365,440.494224,4,2,181.426084,71.787144,680.099209
1300,1893.790649,19.763428,5.773752,51.877315,4,2,18.482228,5.569972,80.095763
1301,19.170883,0.200066,0.058448,0.524202,4,2,0.187096,0.056385,0.846919
1302,835.133240,6.229859,2.546138,19.653752,3,2,5.694111,2.456274,35.363746
1303,2.145615,0.022391,0.006542,0.058776,4,2,0.020940,0.006311,0.090746
1304,0.039699,0.000296,0.000121,0.000934,3,2,0.000271,0.000117,0.001681
1305,93.074005,1.207540,0.283762,2.886174,5,2,1.136467,0.273747,4.084487
1306,0.001461,0.000011,0.000004,0.000034,3,2,0.000010,0.000004,0.000064
1307,0.000090,0.000001,0.000000,0.000002,4,2,0.000001,0.000000,0.000004
1308,0.014201,0.000106,0.000043,0.000329,3,2,0.000097,0.000042,0.000621
1309,110076.242188,821.137821,335.598299,2590.498197,3,2,750.522518,323.753653,4661.182338
1310,44.577942,0.361301,0.132672,1.052807,3,2,0.349631,0.131112,2.011091
1311,1915.144897,24.227329,8.705204,52.462280,4,2,23.570498,8.549754,80.998917
1312,41233.347656,521.617915,187.424308,1129.520503,4,2,507.476250,184.077445,1743.918440
1313,0.616423,0.004881,0.001835,0.014507,3,2,0.004850,0.001813,0.026102
1314,11669.334961,92.399051,34.730164,274.622303,3,2,91.807377,34.321573,494.138398
1315,0.000994,0.000009,0.000005,0.000023,3,2,0.000009,0.000004,0.000042
1316,66.895950,0.638186,0.304073,1.579897,3,2,0.628187,0.298643,3.017946
1317,603.878662,7.558245,2.744903,16.542274,4,2,7.446845,2.695887,25.540374
1318,85.400467,0.814718,0.388184,1.980253,3,2,0.801954,0.381252,3.736079
1319,8.677180,0.082780,0.039442,0.203748,3,2,0.081483,0.038737,0.382816
1320,109.302719,1.042745,0.496831,2.534495,3,2,1.026409,0.487959,4.781749
1321,9653.556641,76.945702,28.730823,227.183637,3,2,75.948434,28.392814,408.780195
1322,19.755693,0.238610,0.089799,0.540193,4,2,0.233937,0.088195,0.872755
1323,0.002874,0.000022,0.000007,0.000067,3,2,0.000021,0.000007,0.000127
1324,3.434687,0.025872,0.008898,0.080650,3,2,0.025338,0.008502,0.151530
1325,0.006695,0.000050,0.000017,0.000157,3,2,0.000049,0.000017,0.000295
1326,3728.001953,28.081513,9.658036,87.733576,3,2,27.502247,9.227728,157.862374
1327,0.000095,0.000001,0.000000,0.000002,3,2,0.000001,0.000000,0.000004
1328,0.000360,0.000003,0.000002,0.000008,3,2,0.000003,0.000002,0.000015
1330,598.145447,7.224428,2.718843,16.385222,4,2,7.082936,2.670292,25.297894
1331,0.156384,0.001889,0.000711,0.004284,4,2,0.001852,0.000698,0.006614
1332,69.768738,0.842670,0.317131,1.912086,4,2,0.826166,0.311468,3.150906
1333,0.001121,0.000014,0.000005,0.000031,4,2,0.000013,0.000005,0.000051
1334,67.264595,0.641703,0.305748,1.588603,3,2,0.631649,0.300288,3.034577
1335,0.000504,0.000006,0.000002,0.000014,4,2,0.000006,0.000002,0.000023
1336,29583.285156,282.223779,134.469478,696.203334,3,2,277.802243,132.068237,1252.705248
1337,0.000087,0.000001,0.000000,0.000002,3,2,0.000001,0.000000,0.000004
1338,0.366334,0.004566,0.001665,0.010035,4,2,0.004518,0.001635,0.015494
1339,116.194359,0.920039,0.345817,2.694297,3,2,0.914148,0.341748,5.083242
1340,69.060799,0.546831,0.205538,1.631024,3,2,0.543329,0.203120,3.115611
1341,69.379890,1.044461,0.315363,2.164297,5,2,1.025620,0.309732,3.136682
1342,102.242249,0.809565,0.304292,2.370778,3,2,0.804381,0.300712,4.472869
1343,0.583080,0.007267,0.002650,0.015801,4,2,0.007190,0.002603,0.025548
1344,0.042082,0.000333,0.000125,0.000976,3,2,0.000331,0.000124,0.001841
1345,1.377081,0.010904,0.004098,0.031932,3,2,0.010834,0.004050,0.060244
1346,0.002770,0.000022,0.000008,0.000064,3,2,0.000022,0.000008,0.000121
1347,15935.663086,126.180297,47.427569,375.024671,3,2,125.372306,46.869597,674.796213
1348,0.136751,0.001376,0.000622,0.003218,3,2,0.001348,0.000610,0.005791
1349,2.898176,0.029155,0.013174,0.068205,3,2,0.028566,0.012938,0.122723
1350,0.880121,0.010969,0.004001,0.024109,4,2,0.010853,0.003929,0.037224
1351,0.331500,0.003335,0.001507,0.007801,3,2,0.003267,0.001480,0.014037
1352,785.179932,9.786139,3.569000,21.508727,4,2,9.682596,3.505268,33.208309
1353,4781.640137,59.596269,21.734728,130.985255,4,2,58.965704,21.346608,202.234135
