id,size,submit_time,time_spent
392,1,10203,0
393,1,10217,0
394,13969.353222,10220,0
395,1,10233,0
396,1,10252,0
397,1146.755738,10269,0
398,1,10288,0
399,611.425958,10299,0
400,675.073118,10308,0
401,1,10310,0
402,103.672266,10320,0
403,1,10327,0
404,424.908016,10333,0
405,23916.115646,10340,0
406,271.04691,10347,0
407,1,10352,0
408,2717.424195,10379,0
409,456.358312,10392,0
410,1,10399,0
411,1,10420,0
412,1,10456,0
413,1,10470,0
414,1,10480,0
415,1,10524,0
416,1,10543,0
417,1,10558,0
418,1,10571,0
419,1,10578,0
420,1,10588,0
421,1,10595,0
422,1,10604,0
423,1,10618,0
424,1,10634,0
425,1,10659,0
426,3787.608391,10678,0
427,3.432523,10688,0
428,1,10690,0
429,1,10707,0
430,4705.514856,10719,0
431,1,10725,0
432,1,10739,0
433,1,10754,0
434,1,10759,0
435,1,10774,0
436,1,10779,0
437,1,10787,0
438,1,10800,0
439,1,10809,0
440,1,10817,0
441,1,10833,0
442,659.450943,10835,0
443,1,10857,0
444,391.113719,10863,0
445,1,10869,0
446,246.696516,10885,0
447,1,10885,0
448,289.186349,10904,0
449,1,10911,0
450,219.214214,10919,0
451,111.69153,10922,0
452,1,10923,0
453,1,10930,0
454,1,10942,0
455,1,10978,0
456,1,10989,0
457,1,10996,0
458,1,11006,0
459,1019.811069,11013,0
460,1.152807,11081,0
461,1.950432,11214,0
462,1201.075703,11346,0
463,1,11400,0
464,281951.058519,11424,0
465,2223.17816,11517,0
466,5948.428098,11519,0
467,2.523341,11536,0
468,1.096122,11607,0
469,1,11659,0
470,2218.534087,11672,0
471,1,11724,0
472,1111.993878,11753,0
473,1,11763,0
474,1859.171793,11814,0
475,1801.860133,11815,0
476,733.619906,11822,0
477,138.9536,11826,0
478,721.064749,11832,0
479,2.978405,11965,0
480,1,11981,0
481,2.008475,12116,0
482,1.108957,12183,0
483,1,12200,0
484,1,12222,0
485,2201.97693,12237,0
486,1,12243,0
487,1,12261,0
488,1,12290,0
489,1,12310,0
490,1,12364,0
491,1,12374,0
492,1,12393,0
493,1,12400,0
494,1,12408,0
495,750.616604,12412,0
496,1000.000312,12413,0
497,8996.339634,12414,0
498,1,12432,0
499,1,12449,0
500,1000.000449,12484,0
501,1,12509,0
502,1000.000621,12531,0
503,1000.000983,12569,0
504,1,12571,0
505,1003.699411,12592,0
506,1000.000434,12603,0
507,1,12608,0
508,1,12626,0
509,1000.000158,12635,0
510,1,12660,0
511,1,12679,0
512,1000.000493,12683,0
513,368.200369,12706,0
514,3672.21634,12711,0
515,1,12713,0
516,1,12725,0
517,1,12748,0
518,139364.152288,12771,0
519,1000.000634,12782,0
520,1,12798,0
521,1,12814,0
522,1000.000308,12829,0
523,777.944839,12833,0
524,958140.617738,12843,0
525,1000.000389,12859,0
526,1,12867,0
527,1,12907,0
528,1,12935,0
529,1,12948,0
530,1,12961,0
531,1,12984,0
532,12634.784545,13009,0
533,4592.698178,13011,0
534,1,13012,0
535,1,13050,0
536,1,13082,0
537,1,13110,0
538,1,13119,0
539,1.132932,13186,0
540,1,13195,0
541,1,13216,0
542,1,13242,0
543,1,13250,0
544,1,13257,0
545,1,13272,0
546,1,13279,0
547,1,13287,0
548,1,13292,0
549,1,13301,0
550,2377.205401,13310,0
551,10004.810571,13312,0
552,45991.144931,13312,0
553,1,13314,0
554,1,13341,0
555,1,13357,0
556,1,13375,0
557,1,13421,0
558,1,13433,0
559,1,13444,0
560,1,13449,0
561,1,13460,0
562,1,13469,0
563,5301.247354,13487,0
564,1,13497,0
565,1,13529,0
566,1.180662,13603,0
567,63286.729248,13616,0
568,112880.834188,13622,0
569,1,13629,0
570,2731.819991,13666,0
571,14.932682,13689,0
572,4767.399402,13692,0
573,20.551691,13692,0
574,177.670953,13701,0
575,1.354638,13718,0
576,864.641686,13722,0
577,2.890554,13730,0
578,1,13751,0
579,1,13764,0
580,1,13774,0
581,1,13784,0
582,1,13793,0
583,1,13801,0
584,1,13802,0
585,1,13803,0
586,1,13812,0
587,1,13812,0
588,1102.304411,13822,0
589,1,13841,0
590,1,13842,0
591,1,13849,0
592,1,13850,0
593,1,13861,0
594,1,13866,0
595,1,13871,0
596,1,13881,0
597,1,13897,0
598,1,13916,0
599,1,13922,0
600,1,13927,0
601,1,13935,0
602,1,13998,0
603,1,14020,0
604,2.803493,14110,0
605,1,14166,0
606,283.121953,14212,0
607,217.961408,14212,0
608,1,14213,0
609,50.863495,14213,0
610,819.265724,14214,0
611,6648.836764,14214,0
612,1.332872,14248,0
613,1,14274,0
614,1,14295,0
615,1,14306,0
616,1.697732,14321,0
617,1.039831,14339,0
618,1,14359,0
619,1,14364,0
620,1,14372,0
621,2551.421335,14374,0
622,1,14381,0
623,1.139822,14401,0
624,4362.862415,14407,0
625,1.403615,14419,0
626,1000.000602,14433,0
627,11427.395149,14440,0
628,1,14446,0
629,1000.000565,14465,0
630,1,14469,0
631,1.115799,14514,0
632,205.976409,14520,0
633,1,14523,0
634,68999.914257,14524,0
635,1,14528,0
636,1000.000418,14532,0
637,10000.000839,14539,0
638,1,14555,0
639,1,14564,0
640,1000.000341,14583,0
641,1.150222,14637,0
642,1,14642,0
643,7372.003709,14647,0
644,1000.000492,14651,0
645,1,14652,0
646,1,14671,0
647,1,14703,0
648,1.004185,14747,0
649,6091.636039,14749,0
650,1,14785,0
651,1,14819,0
652,128315.113539,14826,0
653,2627.997292,14830,0
654,1.056638,14871,0
655,1,14885,0
656,1,14896,0
657,1,14917,0
658,3.133947,14939,0
659,1,14946,0
660,1,14949,0
661,1,14954,0
662,1,14969,0
663,1,14983,0
664,1,14994,0
665,3856.858513,14996,0
666,80197.711581,15000,0
667,1,15001,0
668,1,15015,0
669,1087.766627,15019,0
670,1,15027,0
671,1,15034,0
672,1,15041,0
673,1069.968546,15063,0
674,1,15094,0
675,61148.306638,15111,0
676,10144.615256,15120,0
677,1.724826,15185,0
678,1979.614478,15191,0
679,1,15192,0
680,1,15206,0
681,14.699831,15242,0
682,1,15251,0
683,1,15289,0
684,1582.333993,15292,0
685,1,15302,0
686,1,15327,0
687,2587.104342,15346,0
688,1,15361,0
689,4804.328335,15393,0
690,1,15411,0
691,70.094589,15421,0
692,976.06039,15422,0
693,951.486217,15424,0
694,220.422756,15424,0
695,1,15428,0
696,57.850841,15428,0
697,45993.785568,15429,0
698,10000.000917,15433,0
699,1,15443,0
700,1,15445,0
701,1,15448,0
702,1,15460,0
703,1818.490497,15465,0
704,1.256515,15480,0
705,1,15484,0
706,1,15491,0
707,1,15493,0
708,1,15522,0
709,1,15545,0
710,1.339199,15562,0
711,1,15603,0
712,1.332868,15606,0
713,1,15637,0
714,389.931495,15646,0
715,1.988899,15663,0
716,8902.74694,15708,0
717,3918.600311,15708,0
718,1.923662,15709,0
719,1,15711,0
720,1.582448,15712,0
721,1,15725,0
722,118.083273,15726,0
723,1,15727,0
724,1,15739,0
725,1,15741,0
726,1,15750,0
727,11.868625,15785,0
728,1097.25395,15807,0
729,1,15838,0
730,1.84853,15841,0
731,2.068732,15858,0
732,1,15868,0
733,1,15874,0
734,1,15881,0
735,1,15885,0
736,1,15892,0
737,1,15894,0
738,1,15898,0
739,4226.181844,15902,0
740,1,15910,0
741,1,15911,0
742,1,15924,0
743,1,15925,0
744,1.123073,15947,0
745,1,15956,0
746,1,15968,0
747,1,15981,0
748,1,16029,0
749,215.4353,16030,0
750,2.245289,16038,0
751,1,16041,0
752,1,16051,0
753,1,16061,0
754,6480.825699,16081,0
755,3.102159,16280,0
756,592.609336,16286,0
757,4.071071,16286,0
758,1929.740364,16290,0
759,14.699831,16291,0
760,1,16293,0
761,1,16297,0
762,682.543049,16297,0
763,4.333578,16298,0
764,1172.701369,16301,0
765,1,16302,0
766,1,16306,0
767,1,16311,0
768,1,16312,0
769,4018.52927,16317,0
770,1,16318,0
771,1,16318,0
772,10000.000806,16321,0
773,1,16323,0
774,1,16324,0
775,1,16334,0
776,1,16336,0
777,1,16348,0
778,1,16351,0
779,1,16351,0
780,1,16364,0
781,15.782077,16369,0
782,4641.479374,16374,0
783,1,16378,0
784,1,16384,0
785,1,16388,0
786,1,16398,0
787,1,16412,0
788,1,16415,0
789,4161.17044,16419,0
790,295152.887761,16425,0
791,1,16426,0
792,1,16436,0
793,1,16445,0
794,1,16446,0
795,2196.760861,16447,0
796,1,16450,0
797,1,16465,0
798,1,16478,0
799,1192.314853,16481,0
800,1,16484,0
801,147591.328225,16501,0
802,2120.327206,16516,0
803,1,16518,0
804,1,16532,0
805,1,16533,0
806,1,16546,0
807,1,16558,0
808,1,16571,0
809,1,16572,0
810,1,16575,0
811,1,16588,0
812,102883.721267,16589,0
813,1,16596,0
814,1,16602,0
815,1,16624,0
816,160.545133,16626,0
817,2500.241185,16633,0
818,1,16649,0
819,1,16656,0
820,3452.098311,16658,0
821,1,16662,0
822,1,16672,0
823,1,16682,0
824,1,16697,0
825,1,16707,0
826,1093.931159,16711,0
827,1.040093,16712,0
828,1,16722,0
829,1,16731,0
830,1,16743,0
831,1,16760,0
832,1,16760,0
833,1,16767,0
834,1,16777,0
835,1,16805,0
836,1,16821,0
837,1.326786,16833,0
838,1,16835,0
839,3261.221455,16843,0
840,1,16844,0
841,1,16849,0
842,1,16851,0
843,1,16856,0
844,1,16859,0
845,1,16863,0
846,1,16869,0
847,1,16870,0
848,1,16875,0
849,1,16880,0
850,1,16882,0
851,1,16887,0
852,1,16892,0
853,1,16893,0
854,433.881343,16898,0
855,1,16898,0
856,975.606883,16899,0
857,1,16903,0
858,1,16906,0
859,1,16911,0
860,1,16917,0
861,1079.867874,16918,0
862,1,16925,0
863,1,16932,0
864,626.268698,16936,0
865,742.227992,16937,0
866,1,16938,0
867,1,16939,0
868,1,16942,0
869,1,16946,0
870,1,16949,0
871,1,16953,0
872,1,16954,0
873,1,16966,0
874,1,16967,0
875,1,16975,0
876,1,16986,0
877,1,16987,0
878,1,16997,0
879,1,17000,0
880,1,17008,0
881,1146.219431,17011,0
882,1,17020,0
883,1,17024,0
884,1,17030,0
885,2615.542026,17039,0
886,1,17041,0
887,14.699831,17043,0
888,1,17055,0
889,1,17071,0
890,1,17074,0
891,1592.663785,17083,0
892,1,17086,0
893,1238.995377,17088,0
894,1,17094,0
895,1,17105,0
896,1,17109,0
897,1,17113,0
898,1,17121,0
899,1,17129,0
900,1,17142,0
901,1,17149,0
902,1,17155,0
903,1,17163,0
904,1,17175,0
905,1,17176,0
906,1582.012231,17184,0
907,1,17207,0
908,1,17216,0
909,224.755984,17220,0
910,1000.000618,17221,0
911,91678.744693,17223,0
912,1,17224,0
913,1,17227,0
914,124.331292,17230,0
915,1,17234,0
916,10000.000913,17241,0
917,1000.000405,17242,0
918,1,17245,0
919,1,17276,0
920,1,17286,0
921,1000.000203,17292,0
922,1515.487311,17297,0
923,1,17299,0
924,1,17300,0
925,1,17309,0
926,1,17317,0
927,1,17322,0
928,1000.000556,17324,0
929,1,17332,0
930,1,17335,0
931,1,17341,0
932,1,17343,0
933,1,17349,0
934,1,17351,0
935,3752.239977,17352,0
936,1000.000379,17357,0
937,1,17361,0
938,1,17372,0
939,1,17373,0
940,1,17387,0
941,1146.540067,17391,0
942,36.326754,17391,0
943,1,17397,0
