ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K
2433, 153.0, 0.998599886405595, 0.15454545454545454, 2.840374273883087, 10, 9
2434, 130.2, 0.8497889229485263, 0.1315151515162804, 2.4227470261643154, 10, 9
2435, 121.7, 0.7943111514960264, 0.12292929293418473, 2.264579977605201, 10, 9
2436, 132.1, 0.8621898365874656, 0.13343434343961152, 2.458102013489294, 10, 9
2437, 95.4, 0.6226563997410576, 0.09636363636024974, 1.7751925214752358, 10, 9
2438, 65.4, 0.4268525005006337, 0.06606060606850819, 1.2440035754080434, 10, 9
2439, 2.3, 0.015011632264006114, 0.0023232323202219875, 0.04516427089298884, 10, 9
2440, 194.6, 1.2701146267713517, 0.19656565656716174, 3.612659043775482, 10, 9
2441, 2.0, 0.013053593274190542, 0.0020202020183205604, 0.0392732790373816, 10, 9
2442, 1.8, 0.011748233927941477, 0.001818181811408563, 0.03534595113364344, 10, 9
2443, 152.6, 0.9959891677805284, 0.1541414141485637, 2.832948458787968, 10, 9
2444, 164.8, 1.0756160867999092, 0.16646464646539905, 3.0594358191891033, 10, 9
2445, 187.8, 1.2257324096073845, 0.1896969697014852, 3.486420187158456, 10, 9
2446, 2.9, 0.018927710241000678, 0.002929292924024842, 0.05694625460420332, 10, 9
2447, 64.3, 0.41967302418341684, 0.06494949495589192, 1.2230799678705992, 10, 9
2448, 119.9, 0.7825629174923382, 0.12111111110584302, 2.2310857790868, 10, 9
2449, 132.7, 0.8661059145644603, 0.13404040404341439, 2.4692667463287608, 10, 9
2450, 141.0, 0.9202783266608744, 0.14242424241859805, 2.623712217274719, 10, 9
2451, 98.9, 0.6455001880389574, 0.09989898990501057, 1.8403201297054592, 10, 9
2452, 125.8, 0.8210710176894951, 0.12707070706581527, 2.3408723186748914, 10, 9
2453, 166.7, 1.0880170004388485, 0.16838383838873017, 3.0947084408909187, 10, 9
2454, 178.1, 1.1624224821266702, 0.17989898989485067, 3.306344171101816, 10, 9
2455, 66.7, 0.4353373360868318, 0.06737373737110333, 1.268731475225023, 10, 9
2456, 94.1, 0.6141715641548596, 0.0950505050576546, 1.7510022669897238, 10, 9
2457, 76.6, 0.49995262283804864, 0.0773737373677167, 1.4253642258386063, 10, 9
2458, 170.2, 1.1108607886553226, 0.17191919191655788, 3.1596843229732117, 10, 9
2459, 97.8, 0.6383207117217405, 0.09878787879239428, 1.8198514528331031, 10, 9
2460, 160.5, 1.0475508612560336, 0.1621212121268565, 2.979608306916572, 10, 9
2461, 129.2, 0.8432621262707181, 0.13050505049865355, 2.404139138098537, 10, 9
2462, 115.2, 0.7518869733233958, 0.11636363637040961, 2.1436287051776435, 10, 9
2463, 142.9, 0.9326792402998136, 0.14434343434192917, 2.6590672045996984, 10, 9
2464, 115.4, 0.7531923325980558, 0.11656565656038848, 2.1473502827907986, 10, 9
2465, 192.0, 1.253144955516009, 0.1939393939450383, 3.5643912456572076, 10, 9
2466, 3.1, 0.02023306959140743, 0.003131313130936839, 0.060873582507941476, 10, 9
2467, 79.8, 0.5208383721446117, 0.08060606061057611, 1.4849094676490964, 10, 9
2468, 165.9, 1.0827955631129682, 0.16757575757801532, 3.0798568107006807, 10, 9
2469, 170.4, 1.1121661480072504, 0.17212121212346987, 3.1633972305207716, 10, 9
2470, 2.1, 0.013706272913599361, 0.0021212121133099902, 0.04123694298925068, 10, 9
2471, 212.2, 1.3849862476419883, 0.21434343433515593, 3.9393949079607258, 10, 9
2472, 65.0, 0.42424178179414146, 0.0656565656546842, 1.2363949908489726, 10, 9
2473, 96.0, 0.6265724777180522, 0.0969696969640526, 1.7863572543147026, 10, 9
2474, 1.9, 0.012400913644618209, 0.0019191919233311307, 0.03730961508551252, 10, 9
2475, 2.4, 0.015664311980682844, 0.002424242432144555, 0.047127934844857916, 10, 9
2476, 164.2, 1.0717000088244357, 0.16585858586159619, 3.0482970965464236, 10, 9
2477, 122.3, 0.7982272294730208, 0.12353535353798759, 2.275744710444668, 10, 9
2478, 128.9, 0.8413040872809024, 0.13020202019675212, 2.3985567716788037, 10, 9
2479, 131.1, 0.8556630399096575, 0.13242424242198467, 2.4394941254235154, 10, 9
2480, 103.3, 0.674218093218084, 0.10434343433854255, 1.9221948371948832, 10, 9
2481, 125.8, 0.8210710176894951, 0.12707070706581527, 2.3408723186748914, 10, 9
2482, 165.8, 1.0821428834777171, 0.1674747474830259, 3.078000356926901, 10, 9
2483, 83.5, 0.5449875197171714, 0.0843434343453158, 1.5537586534924757, 10, 9
2484, 90.4, 0.5900224165107109, 0.09131313130598176, 1.6821530811463452, 10, 9
2485, 76.3, 0.4979945838523908, 0.07707070706581527, 1.419781859418873, 10, 9
2486, 152.4, 0.9946838084301216, 0.15393939394165168, 2.8292355512404086, 10, 9
2487, 95.7, 0.6246144387323943, 0.09666666666215117, 1.7807748878949692, 10, 9
2488, 143.8, 0.9385533572666238, 0.14525252524763346, 2.6758143038588984, 10, 9
2489, 130.8, 0.8537050009198419, 0.13212121212008324, 2.433911759003782, 10, 9
2490, 118.5, 0.7734254021894633, 0.11969696969132532, 2.205034735794711, 10, 9
2491, 113.9, 0.7434021376599299, 0.11505050505088134, 2.1194384506921313, 10, 9
2492, 146.0, 0.9529123098912212, 0.147474747472866, 2.71675165760361, 10, 9
2493, 187.9, 1.2263850892426358, 0.18979797979647464, 3.4882766409322357, 10, 9
2494, 3.3, 0.021538428941814187, 0.0033333333378488365, 0.06480091041167964, 10, 9
2495, 63.6, 0.4151042664954243, 0.06424242424016649, 1.2097649448922256, 10, 9
2496, 160.6, 1.0482035408912846, 0.16222222222184593, 2.9814647606903515, 10, 9
2497, 140.5, 0.9170149284005564, 0.14191919192671776, 2.6144082732418306, 10, 9
2498, 2.0, 0.013053593274190542, 0.0020202020183205604, 0.0392732790373816, 10, 9
2499, 2.1, 0.013706272913599361, 0.0021212121133099902, 0.04123694298925068, 10, 9
2500, 220.1, 1.4365479411947615, 0.22232323233038187, 4.08605475608933, 10, 9
2501, 2.5, 0.016316991620091665, 0.002525252527133985, 0.049091598796727, 10, 9
2502, 63.9, 0.41706230548108225, 0.06454545454206792, 1.2154713833115283, 10, 9
2503, 95.8, 0.6252671184433923, 0.09676767677407373, 1.7826356767015468, 10, 9
2504, 175.1, 1.1428420922519396, 0.17686868687583643, 3.250650557888422, 10, 9
2505, 75.1, 0.4901624278999227, 0.07585858585820957, 1.3974523937399392, 10, 9
2506, 89.2, 0.5821902605582427, 0.09010101009837605, 1.6598236154674113, 10, 9
2507, 81.0, 0.5286705280970797, 0.08181818181818182, 1.5072389333280305, 10, 9
2508, 174.2, 1.1369679752135402, 0.175959595953199, 3.233942473924403, 10, 9
2509, 126.8, 0.8275978143673031, 0.12808080808344213, 2.3594802067406695, 10, 9
2510, 133.7, 0.8726327111650004, 0.1350505050441081, 2.4878746343945384, 10, 9
2511, 102.8, 0.6709546949577662, 0.10383838384666226, 1.912890893161994, 10, 9
2512, 142.5, 0.9300685216789047, 0.14393939394503832, 2.6516240493733867, 10, 9
2513, 131.2, 0.8563157195449086, 0.1325252525169741, 2.4413549142300934, 10, 9
2514, 170.5, 1.1128188276409805, 0.17222222221845931, 3.1652536842945516, 10, 9
2515, 107.4, 0.7009779594872996, 0.10848484848710624, 1.9984871782645737, 10, 9
2516, 157.5, 1.0279704712998772, 0.1590909090909091, 2.923914693703178, 10, 9
2517, 133.2, 0.8693693129005247, 0.1345454545522278, 2.4785706903616496, 10, 9
2518, 132.8, 0.8667585941981901, 0.1341414141384038, 2.471127535135339, 10, 9
2519, 108.9, 0.7107681544239043, 0.10999999999661338, 2.026399010363241, 10, 9
2520, 148.2, 0.9672712625256549, 0.14969696969809856, 2.757689011348322, 10, 9
2521, 161.6, 1.0547303375690928, 0.1632323232394728, 3.000029298428149, 10, 9
2522, 69.5, 0.45361236668842364, 0.07020202020013874, 1.321991567138517, 10, 9
2523, 127.2, 0.8302085329923699, 0.12848484848033298, 2.366923361966981, 10, 9
2524, 220.9, 1.441769378444895, 0.2231313131241636, 4.1009063862795685, 10, 9
2525, 76.7, 0.5006053025532043, 0.07747474747963927, 1.4272250146451844, 10, 9
2526, 94.9, 0.6193930014049931, 0.0958585858514363, 1.7658885774423467, 10, 9
2527, 136.2, 0.8889497027809342, 0.13757575757124207, 2.534394354558984, 10, 9
2528, 130.4, 0.8510942822989329, 0.1317171717231924, 2.426468603777471, 10, 9
2529, 174.9, 1.1415367329015327, 0.17666666666892442, 3.2469376503408625, 10, 9
2530, 136.6, 0.8915604214817479, 0.13797979798506607, 2.5418375097852954, 10, 9
2531, 144.2, 0.9411640759674375, 0.14565656566145746, 2.6832574590852096, 10, 9
2532, 127.8, 0.8341246109678433, 0.12909090908413584, 2.3780880948064476, 10, 9
2533, 109.8, 0.7166422713907146, 0.11090909090231765, 2.043146109622441, 10, 9
2534, 2.8, 0.01827503060574955, 0.002828282829035412, 0.05498259065233424, 10, 9
2535, 144.2, 0.9411640759674375, 0.14565656566145746, 2.6832574590852096, 10, 9
2536, 157.9, 1.030581189924944, 0.15949494948779994, 2.9313405087982973, 10, 9
2537, 160.3, 1.0462455019056267, 0.1619191919199445, 2.9758953993690125, 10, 9
2538, 1.8, 0.011748233927941477, 0.001818181811408563, 0.03534595113364344, 10, 9
2539, 85.9, 0.5606518316164286, 0.08676767676052723, 1.5984175848503435, 10, 9
2540, 217.3, 1.418272910589012, 0.21949494950134646, 4.034074050423496, 10, 9
2541, 129.1, 0.8426094466313092, 0.1304040404036641, 2.4022783492919593, 10, 9
2542, 2.0, 0.013053593274190542, 0.0020202020183205604, 0.0392732790373816, 10, 9
2543, 183.9, 1.2002779026900972, 0.1857575757598335, 3.4140184899810437, 10, 9
2544, 2.0, 0.013053593274190542, 0.0020202020183205604, 0.0392732790373816, 10, 9
2545, 115.4, 0.7531923325980558, 0.11656565656038848, 2.1473502827907986, 10, 9
2546, 135.3, 0.8830755858141242, 0.13666666666553778, 2.517647255299784, 10, 9
2547, 146.1, 0.9535649895306301, 0.14757575756785543, 2.718612446410188, 10, 9
2548, 170.7, 1.114124186997066, 0.1724242424253713, 3.1689665918421106, 10, 9
2549, 71.4, 0.46601328033304196, 0.07212121212346988, 1.3581323437941026, 10, 9
2550, 82.4, 0.5378080433999546, 0.08323232323269952, 1.5332899766201196, 10, 9
2551, 95.6, 0.6239617590971432, 0.09656565656716173, 1.7789140990883912, 10, 9
2552, 75.7, 0.49407850587539626, 0.07646464646201243, 1.408617126579406, 10, 9
2553, 95.6, 0.6239617590971432, 0.09656565656716173, 1.7789140990883912, 10, 9
2554, 127.4, 0.8315138923427766, 0.12868686868724497, 2.3706449395801363, 10, 9
2555, 91.1, 0.5945911742028611, 0.09202020202170719, 1.6951786027923894, 10, 9
2556, 130.2, 0.8497889229485263, 0.1315151515162804, 2.4227470261643154, 10, 9
2557, 133.0, 0.8680639535542758, 0.13434343434531582, 2.474849112748494, 10, 9
2558, 120.4, 0.7858263158284028, 0.12161616161465645, 2.24038972311969, 10, 9
2559, 141.3, 0.9222363656506899, 0.14272727272049948, 2.6292945836944526, 10, 9
2560, 107.1, 0.6990199205016416, 0.10818181818520481, 1.99290481184484, 10, 9
2561, 1.9, 0.012400913644618209, 0.0019191919233311307, 0.03730961508551252, 10, 9
2562, 83.2, 0.5430294807273558, 0.08404040404341438, 1.5481762870727425, 10, 9
2563, 1.9, 0.012400913644618209, 0.0019191919233311307, 0.03730961508551252, 10, 9
2564, 125.8, 0.8210710176894951, 0.12707070706581527, 2.3408723186748914, 10, 9
2565, 192.5, 1.2564083537763269, 0.1944444444369186, 3.5736735145261065, 10, 9
2566, 2.0, 0.013053593274190542, 0.0020202020183205604, 0.0392732790373816, 10, 9
2567, 157.3, 1.0266651119494705, 0.1588888888839971, 2.920201786155619, 10, 9
2568, 164.6, 1.0743107274438235, 0.16626262625848706, 3.055722911641543, 10, 9
2569, 98.2, 0.6409314303468072, 0.09919191918928515, 1.8272946080594148, 10, 9
2570, 2.5, 0.016316991620091665, 0.002525252527133985, 0.049091598796727, 10, 9
2571, 141.4, 0.9228890453673666, 0.14282828283242205, 2.6311553725010306, 10, 9
2572, 77.0, 0.502563341544541, 0.0777777777815407, 1.4328073810649178, 10, 9
2573, 166.5, 1.0867116410884416, 0.16818181818181818, 3.0909955333433596, 10, 9
2574, 72.2, 0.4712347176589221, 0.07292929293418472, 1.3733495129122437, 10, 9
2575, 84.2, 0.5495562773278959, 0.08505050504410809, 1.5667841751385203, 10, 9
2576, 166.5, 1.0867116410884416, 0.16818181818181818, 3.0909955333433596, 10, 9
2577, 148.2, 0.9672712625256549, 0.14969696969809856, 2.757689011348322, 10, 9
2578, 143.0, 0.9333319199392225, 0.14444444443691862, 2.6609279934062755, 10, 9
2579, 94.9, 0.6193930014049931, 0.0958585858514363, 1.7658885774423467, 10, 9
2580, 136.4, 0.890255062131341, 0.13777777777815406, 2.5381159321721403, 10, 9
2581, 96.1, 0.6272251574332078, 0.09707070707597516, 1.7882180431212802, 10, 9
2582, 115.7, 0.7551503715878715, 0.1168686868622899, 2.1529326492105323, 10, 9
2583, 93.5, 0.6102554861021182, 0.0944444444369186, 1.7398375341502572, 10, 9
2584, 145.4, 0.9489962319199055, 0.14686868686906315, 2.705586924764143, 10, 9
2585, 156.0, 1.0181802763617513, 0.15757575758140197, 2.8960678870964807, 10, 9
2586, 134.2, 0.8758961095010649, 0.1355555555529215, 2.497178578427428, 10, 9
2587, 133.9, 0.8739380705112493, 0.13525252525102008, 2.491596212007695, 10, 9
2588, 126.7, 0.8269451346506265, 0.12797979797151957, 2.357619417934092, 10, 9
2589, 149.5, 0.9757560981891209, 0.15101010101762685, 2.7818792658338336, 10, 9
2590, 157.7, 1.029275830650284, 0.1592929292978211, 2.9276276012507374, 10, 9
