algorithm,id_file,arrival_time,created_at,start_time,waiting_time,processing_time,chunk_time,upload_time,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
random,0,0,0,1717699601035819696,0,6176354782,2951.670995,1180.4211,209715200,10,9,233016890,23301689,111.11111164093018,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035]"
random,1,0,0,1717699607684642235,0,18247835894,6489.571139,9315.849559,209715200,10,2,1048576010,104857601,500.0000047683716,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[100.00000095367432, 100.00000095367432, 100.00000095367432, 100.00000095367432, 100.00000095367432, 100.00000095367432, 100.00000095367432, 100.00000095367432, 100.00000095367432, 100.00000095367432]"
random,2,0,0,1717699626362026690,0,6940651010,1945.874574,2571.410872,209715200,3,2,314572803,104857601,150.00000143051147,"[2, 4, 5]","[200.00000190734863, 200.00000190734863, 200.00000190734863]"
random,3,0,0,1717699633788975255,0,7453397258,3440.824787,1897.585864,209715200,10,6,349525340,34952534,166.66666984558105,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[133.33333492279053, 133.33333492279053, 233.33333587646484, 133.33333492279053, 233.33333587646484, 233.33333587646484, 133.33333492279053, 133.33333492279053, 133.33333492279053, 133.33333492279053]"
random,4,0,0,1717699641669342791,0,7633364141,2603.004687,3062.398371,209715200,4,2,419430404,104857601,200.00000190734863,"[0, 4, 8, 9]","[233.33333587646484, 333.33333683013916, 233.33333587646484, 233.33333587646484]"
random,5,0,0,1717699649746989178,0,13952565468,4567.005482,6969.86986,209715200,9,3,629145603,69905067,300.0000014305115,"[0, 1, 2, 3, 5, 6, 7, 8, 9]","[300.00000286102295, 200.00000190734863, 300.00000286102295, 200.00000190734863, 300.00000286102295, 200.00000190734863, 200.00000190734863, 300.00000286102295, 300.00000286102295]"
random,6,0,0,1717699664179342117,0,41866385723,12783.084661,26352.912944,209715200,7,1,1468006407,209715201,700.0000033378601,"[0, 3, 4, 5, 6, 7, 9]","[500.00000381469727, 400.00000286102295, 533.3333377838135, 500.00000381469727, 400.00000286102295, 400.00000286102295, 500.00000381469727]"
random,7,0,0,1717699706653422006,0,56873805078,17535.562632,34111.462023,209715200,8,1,1677721608,209715201,800.0000038146973,"[0, 1, 2, 3, 5, 6, 8, 9]","[700.0000047683716, 400.00000286102295, 500.00000381469727, 600.0000038146973, 700.0000047683716, 600.0000038146973, 500.00000381469727, 700.0000047683716]"
random,8,0,0,1717699764043752913,0,10214145186,3387.59833,4132.108821,209715200,5,2,524288005,104857601,250.0000023841858,"[2, 3, 4, 6, 8]","[600.0000047683716, 700.0000047683716, 633.3333387374878, 700.0000047683716, 600.0000047683716]"
random,9,0,0,1717699774682200265,0,5417629282,2572.617932,1040.9655,209715200,9,7,269633835,29959315,128.5714316368103,"[0, 1, 2, 3, 4, 5, 6, 7, 9]","[728.5714340209961, 428.57143211364746, 628.5714340209961, 728.5714340209961, 661.9047679901123, 728.5714340209961, 728.5714340209961, 428.57143211364746, 728.5714340209961]"
